quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,14,22,0,1,10,ORL,TOR,ORL14,run,3,0,113 Weak Run 22 Pistol,113,Weak,Pistol,1-10poss,True 34,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,DT Shaun Ballard,,,None,None,False,2,2,1,,,,,0,2109,Week 4,Orlando,FL,70,calm,fair,86,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,45,0,2,7,ORL,TOR,ORL17,run,10,0,113 I Run 20 Normal,113,I,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,DT Tony Accimus,ILB Roy Dolfinger,,None,None,False,2,0,2,,,,,0,2109,Week 4,Orlando,FL,70,calm,fair,83,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,0,0,1,10,ORL,TOR,ORL27,run,6,0,122 Pro Run 22 Normal,122,Pro,Normal,1-10earn,True 34,Regular Personnel,"Cover-3 Sky, Buzz",No Blitz,None,None,Normal,DT Brody Doughty,,,None,None,False,2,2,3,,,,,0,2109,Week 4,Orlando,FL,70,calm,fair,73,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,21,0,2,4,ORL,TOR,ORL33,run,2,0,122 Strong Run 24 Shotgun,122,Strong,Shotgun,1or2-3-5,True 34,Regular Personnel,Cover-2,No Blitz,None,None,Normal,ILB Norm Pierce,,,None,None,False,2,4,4,,,,,0,2109,Week 4,Orlando,FL,70,calm,fair,67,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,37,0,3,2,ORL,TOR,ORL35,run,9,0,113 Strong Run 27 Shotgun,113,Strong,Shotgun,3or4-2,True 34,Nickel Personnel,"Press-1, Buzz",No Blitz,None,None,3short,OLB Deon Dehart,,,None,None,False,2,7,5,,,,,0,2109,Week 4,Orlando,FL,70,calm,fair,65,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,0,0,1,10,ORL,TOR,ORL44,run,3,0,113 Pro Run 26 Normal,113,Pro,Normal,1-10earn,True 34,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,ILB Brent Hernandez,OLB Tanner McDermott,,None,None,False,2,6,6,,,,,0,2109,Week 4,Orlando,FL,70,calm,fair,56,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,21,0,2,7,ORL,TOR,ORL47,pass,13,12,113 Weak Pass ZXAR S8S7 Normal,113,Weak,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-1,Blitz 1,None,None,Normal,S Luis Pasich,,SLB T.McDermott,None,None,False,,,7,S8S7,ZXAR,S,8,0,2109,Week 4,Orlando,FL,70,calm,fair,53,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,45,0,1,10,ORL,TOR,TOR40,pass,0,0,113 Strong Pass ZAXYR 51734 Normal,113,Strong,Normal,1-10earn,True 34,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,,,,None,None,False,,,8,51734,ZAXYR,5,1,0,2109,Week 4,Orlando,FL,70,calm,fair,40,NORMAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1Q,9,37,0,2,10,ORL,TOR,TOR40,pass,3,0,122 Weak Pass YAXZT 2S11W Pistol,122,Weak,Pistol,1or2-10-12,True 34,Regular Personnel,Cover-2,No Blitz,None,None,Normal,OLB Tanner McDermott,ILB Thomas Abrams,,None,None,False,,,9,2S11W,YAXZT,2,S,0,2109,Week 4,Orlando,FL,70,calm,fair,40,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,9,6,0,3,7,ORL,TOR,TOR37,pass,19,6,113 Weak Pass XRYZA W62SS Normal,113,Weak,Normal,3or4-6-7,True 34,Nickel Personnel,"Cover-3 Sky, Buzz",No Blitz,None,None,3long,CB Damon Daniels,ILB Norm Pierce,,None,None,False,,,10,W62SS,XRYZA,W,6,0,2109,Week 4,Orlando,FL,70,calm,fair,37,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,20,0,1,10,ORL,TOR,TOR18,pass,0,0,113 Weak Pass ZYXAR W440S Normal,113,Weak,Normal,1-10earn,True 34,Nickel Personnel,Man to Man,No Blitz,None,None,Normal,,,,None,None,False,,,11,W440S,ZYXAR,W,4,0,2109,Week 4,Orlando,FL,70,calm,fair,18,NORMAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1Q,8,10,0,2,10,ORL,TOR,TOR18,run,13,0,212 Pro Run 26 Shotgun,212,Pro,Shotgun,1or2-10-12,True 34,Regular Personnel,Press-1,No Blitz,None,None,Normal,DE David Skelton,,,None,None,False,2,6,12,,,,,0,2109,Week 4,Orlando,FL,70,calm,fair,18,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
