,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
0,1Q,14,25,0,1,10,HOU,DAL,HOU30,pass,0,0,113t Weak Pass XAYZR 5S152 Normal,113t,Weak,Normal,1-10poss,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,,,, DT Jimmy Webb,Offsides,False,,,1,5S152,XAYZR,5,S,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,70,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1,1Q,14,18,0,1,5,HOU,DAL,HOU35,run,-1,0,212 Weak Run 21 Normal,212,Weak,Normal,1or2-3-5,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,DT Jimmy Webb,,,None,None,False,2,1,2,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,65,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,1Q,13,46,0,2,6,HOU,DAL,HOU34,pass,18,0,122 Weak Pass ZTXYA 772W2 Normal,122,Weak,Normal,1or2-6-9,43 Over,Regular Personnel,Cover-1,No Blitz,None,None,Normal,S Reginald Fordham,,,None,None,False,,,3,772W2,ZTXYA,7,7,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,66,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,1Q,13,10,0,1,10,HOU,DAL,DAL48,pass,23,12,212 Pro Pass XAZB 125F Shotgun,212,Pro,Shotgun,1-10earn,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,CB Troy Uzzell,,,None,None,False,,,4,125F,XAZB,1,2,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,48,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,1Q,12,33,0,1,10,HOU,DAL,DAL25,pass,0,0,113 Weak Pass XYZAR 27FS1 Shotgun,113,Weak,Shotgun,1-10earn,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,5,27FS1,XYZAR,2,7,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,25,NORMAL,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
5,1Q,12,26,0,2,10,HOU,DAL,DAL25,run,2,0,212 Pro Run 21 Shotgun,212,Pro,Shotgun,1or2-10-12,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,S Reginald Fordham,DE Tim Hutchins,,None,None,False,2,1,6,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,25,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1Q,11,57,0,3,8,HOU,DAL,DAL23,pass,21,1,113t Weak Pass ZXYAR 7F1S1 Pistol,113t,Weak,Pistol,3or4-8-9,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,3long,CB Luis Galloway,,,None,None,False,,,7,7F1S1,ZXYAR,7,F,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,23,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,1Q,11,15,0,1,2,HOU,DAL,DAL02,pass,-1,0,221 Pro Pass ABTYZ S1914 Normal,221,Pro,Normal,1or2opp6,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,CB Willie Schneider,,,None,None,False,,,8,S1914,ABTYZ,S,1,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,2,OPP6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
8,1Q,10,50,0,2,3,HOU,DAL,DAL03,run,0,0,113 Weak Run 23 Shotgun,113,Weak,Shotgun,1or2opp6,43 Over,Regular Personnel,Press-2,No Blitz,None,None,Normal,OLB Ezekiel Ringo,,,None,None,False,2,3,9,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,3,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,1Q,10,13,0,3,3,HOU,DAL,DAL03,run,3,0,122 Weak Run 23 Normal,122,Weak,Normal,3or4-3,43 Over,Regular Personnel,Cover-1,No Blitz,None,None,3long,,,,None,None,False,2,3,10,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,3,OPP6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10,1Q,10,6,1,1,10,DAL,HOU,DAL25,run,3,0,113t I Run 26 Normal,113t,I,Normal,1-10poss,43 Under,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,DE Eduardo Bidwell,S Billy Barnes,,None,None,False,2,6,13,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,1Q,9,30,1,2,7,DAL,HOU,DAL28,pass,27,20,113t Weak Pass ZXYAR F01S1 Pistol,113t,Weak,Pistol,1or2-6-9,43 Under,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,CB Erick Strong,,,None,None,False,,,14,F01S1,ZXYAR,F,0,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,1Q,8,58,1,1,10,DAL,HOU,HOU45,pass,3,0,113 Weak Pass ZRXA 113W Pistol,113,Weak,Pistol,1-10earn,43 Under,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,S Billy Barnes,,,None,None,False,,,15,113W,ZRXA,1,1,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,45,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,1Q,8,37,1,2,7,DAL,HOU,HOU42,pass,14,0,212 Strong Pass XYZA 2512 Normal,212,Strong,Normal,1or2-6-9,43 Under,Regular Personnel,Cover-2,No Blitz,None,None,Normal,ILB Blaine Stone,S Junior Jarzyna,,None,None,False,,,16,2512,XYZA,2,5,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,42,NORMAL,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14,1Q,8,27,1,1,10,HOU,DAL,HOU28,run,-4,0,122 Weak Run 26 Shotgun,122,Weak,Shotgun,1-10poss,43 Over,Regular Personnel,Cover-1,No Blitz,None,None,Normal,DE Tim Hutchins,ILB Hayden Richmond,,None,None,False,2,6,17,,,,,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,72,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
