quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
1Q,15,0,0,1,10,HOU,CLE,HOU25,run,5,0,104 Strong Run 24 Normal,104,Strong,Normal,1-10poss,True 34,Dime Personnel,Press-2,No Blitz,None,None,Normal,S Darius Stanton,,,None,None,False,2,4,1,,,,,0,2057,Week 3,Houston,TX,75,7 ,rain,75,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,14,19,0,2,5,HOU,CLE,HOU30,run,9,0,113t Weak Run 20 Normal,113t,Weak,Normal,1or2-3-5,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Marco Bronson,DT Corey Blais,,None,None,False,2,0,2,,,,,0,2057,Week 3,Houston,TX,75,7 ,rain,70,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,13,35,0,1,10,HOU,CLE,HOU39,pass,7,0,113 Weak Pass ZYXAR 23S2S Normal,113,Weak,Normal,1-10earn,True 34,Nickel Personnel,Press-2,Blitz 1,Double,None,Normal,OLB Teddy Bullock,,WLB K.Corona,None,None,False,,,3,23S2S,ZYXAR,2,3,0,2057,Week 3,Houston,TX,75,7 ,rain,61,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,12,59,0,2,3,HOU,CLE,HOU46,run,2,0,122 I Run 15 Normal,122,I,Normal,1or2-3-5,True 34,Regular Personnel,Press-2,No Blitz,None,None,Normal,ILB Ernest Sanderson,S Matthew Wilkins,,None,None,False,1,5,4,,,,,0,2057,Week 3,Houston,TX,75,7 ,rain,54,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,12,21,0,3,1,HOU,CLE,HOU48,run,4,0,113 Weak Run 23 Normal,113,Weak,Normal,3or4-1,True 34,Nickel Personnel,Man to Man,No Blitz,None,Spy,3short,DT Kris Bryant,ILB Parker Ekuban,,None,None,False,2,3,5,,,,,0,2057,Week 3,Houston,TX,75,7 ,rain,52,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,11,43,0,1,10,HOU,CLE,CLE48,run,2,0,113 I Run 21 Normal,113,I,Normal,1-10earn,True 34,Nickel Personnel,Press-2,No Blitz,None,None,Normal,S Darius Stanton,,,None,None,False,2,1,6,,,,,0,2057,Week 3,Houston,TX,75,7 ,rain,48,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,10,59,0,2,8,HOU,CLE,CLE46,pass,29,17,212 Pro Pass YXZAB 43SS2 Normal,212,Pro,Normal,1or2-6-9,True 34,Regular Personnel,"Cover-1, Buzz",Blitz 1,Double,None,Normal,S Marco Bronson,,WLB P.Ekuban,None,None,False,,,7,43SS2,YXZAB,4,3,0,2057,Week 3,Houston,TX,75,7 ,rain,46,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,10,15,0,1,10,HOU,CLE,CLE17,pass,9,0,113 Pro Pass YXZAR 6S4SF Normal,113,Pro,Normal,1-10earn,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,CB Willie Settle,,SLB T.Bullock,None,None,False,,,8,6S4SF,YXZAR,6,S,0,2057,Week 3,Houston,TX,75,7 ,rain,17,NORMAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1Q,9,21,0,2,6,HOU,CLE,CLE13,pass,0,0,113t Pro Pass AXYZR 1FW16 Normal,113t,Pro,Normal,1or2-6-9,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,,,SILB C.Spry,None,None,False,,,10,1FW16,AXYZR,1,F,0,2057,Week 3,Houston,TX,75,7 ,rain,13,NORMAL,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1Q,9,17,0,3,6,HOU,CLE,CLE13,pass,0,0,113 Strong Pass ZRXYA 17401 Normal,113,Strong,Normal,3or4-6-7,True 34,Nickel Personnel,Press-2,Blitz 2,None,None,3long,,,"['WLB K.Corona', 'RCB P.Alviz']",None,None,False,,,11,17401,ZRXYA,1,7,0,2057,Week 3,Houston,TX,75,7 ,rain,13,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,9,5,1,1,10,CLE,HOU,CLE25,pass,29,26,023 Shotgun Pass XRYZT F5848 Normal,023,Shotgun,Normal,1-10poss,True 34,Nickel Personnel,Cover-2,Blitz 2,None,None,Normal,CB Efrain Cyr,,"['SILB B.Stone', 'WLB S.George']",None,None,False,,,14,F5848,XRYZT,F,5,0,2057,Week 3,Houston,TX,75,7 ,rain,75,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,8,23,1,1,10,CLE,HOU,HOU46,pass,4,0,113t I Pass ZRXYA S9WW3 Normal,113t,I,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,ILB Blaine Stone,,WLB S.George,None,None,False,,,15,S9WW3,ZRXYA,S,9,0,2057,Week 3,Houston,TX,75,7 ,rain,46,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,41,1,2,6,CLE,HOU,HOU42,pass,6,0,113 Strong Pass XZYAR S1F39 Normal,113,Strong,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,CB Efrain Cyr,,SILB B.Stone,None,None,False,,,16,S1F39,XZYAR,S,1,0,2057,Week 3,Houston,TX,75,7 ,rain,42,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,7,3,1,1,10,CLE,HOU,HOU36,scramble,-4,0,113t Weak Pass RZXYA 5SF41 Normal,113t,Weak,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,CB Jeremy Gameau,,WLB S.George,None,None,False,,,17,5SF41,RZXYA,5,S,0,2057,Week 3,Houston,TX,75,7 ,rain,36,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1Q,6,23,1,2,14,CLE,HOU,HOU40,pass,0,0,113t I Pass RXZA W332 Normal,113t,I,Normal,1or2-13+,True 34,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,Normal,,,WLB S.George,None,None,False,,,18,W332,RXZA,W,3,0,2057,Week 3,Houston,TX,75,7 ,rain,40,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,6,14,1,3,14,CLE,HOU,HOU40,pass,0,0,113t Pro Pass RXYZ 7571 Normal,113t,Pro,Normal,3or4-13-16,True 34,Nickel Personnel,Cover-2,Blitz 2,None,None,3long,,,"['WLB E.Barton', 'LCB E.Cyr']",None,None,False,,,19,7571,RXYZ,7,5,0,2057,Week 3,Houston,TX,75,7 ,rain,40,NORMAL,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1Q,6,1,2,1,10,HOU,CLE,HOU20,pass,-11,0,113 Pro Pass XZAR D6SW Normal,113,Pro,Normal,1-10poss,True 34,Nickel Personnel,Press-2,Blitz 1,Double,None,Normal,Hunter Palmer,,WLB K.Corona,None,None,False,,,21,D6SW,XZAR,D,6,0,2057,Week 3,Houston,TX,75,7 ,rain,80,NORMAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,51,2,1,10,CLE,HOU,CLE47,pass,6,0,113t Weak Pass YZXR 232F Shotgun,113t,Weak,Shotgun,1-10poss,True 34,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,Normal,CB Jeremy Gameau,,WLB S.George,None,None,False,,,22,232F,YZXR,2,3,0,2057,Week 3,Houston,TX,75,7 ,rain,53,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,5,30,2,2,4,CLE,HOU,HOU47,pass,-2,0,023 Empty Pass XRYZT 281S6 Normal,023,Empty,Normal,1or2-3-5,True 34,Nickel Personnel,Cover-2,Blitz 2,None,None,Normal,Devin Knight,,"['WLB S.George', 'LCB E.Cyr']",None,None,False,,,23,281S6,XRYZT,2,8,0,2057,Week 3,Houston,TX,75,7 ,rain,47,NORMAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1Q,5,22,2,1,10,HOU,CLE,HOU35,scramble,5,0,122 I Pass XTYZ 6614 Normal,122,I,Normal,1-10poss,True 34,Regular Personnel,Press-2,Blitz 1,None,None,Normal,OLB Teddy Bullock,,SILB E.Sanderson,None,None,False,,,24,6614,XTYZ,6,6,0,2057,Week 3,Houston,TX,75,7 ,rain,65,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,4,41,2,2,5,HOU,CLE,HOU40,pass,3,0,113t Pro Pass RXYZ 2232 Normal,113t,Pro,Normal,1or2-3-5,True 34,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,Normal,CB Willie Settle,,SLB T.Bullock,None,None,False,,,25,2232,RXYZ,2,2,0,2057,Week 3,Houston,TX,75,7 ,rain,60,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,4,2,2,3,2,HOU,CLE,HOU43,run,4,0,113 I Run 27 Normal,113,I,Normal,3or4-2,True 34,Nickel Personnel,Man to Man,No Blitz,None,Spy,3short,OLB Teddy Bullock,S Matthew Wilkins,,None,None,False,2,7,26,,,,,0,2057,Week 3,Houston,TX,75,7 ,rain,57,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,3,39,2,1,10,HOU,CLE,HOU47,pass,-5,0,131 Weak Pass YTZAU 333S5 Normal,131,Weak,Normal,1-10earn,True 34,Regular Personnel,"Press-1, Buzz",Blitz 1,None,None,Normal,,,WLB P.Ekuban,None,None,False,,,27,333S5,YTZAU,3,3,0,2057,Week 3,Houston,TX,75,7 ,rain,53,NORMAL,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1Q,2,52,2,2,15,HOU,CLE,HOU42,pass,-6,0,113 I Pass ZYXAR 32605 Normal,113,I,Normal,1or2-13+,True 34,Nickel Personnel,Cover-3 Cloud,Blitz 1,None,None,Normal,,,RCB J.King,None,None,False,,,28,32605,ZYXAR,3,2,0,2057,Week 3,Houston,TX,75,7 ,rain,58,NORMAL,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1Q,2,27,2,3,21,HOU,CLE,HOU36,pass,7,5,122 Weak Pass ZAXY 4SD2 Normal,122,Weak,Normal,3or4-17+,True 34,Regular Personnel,Cover-3 Cloud,Blitz 1,None,None,3long,CB Peyton Alviz,,WLB D.Stanton,None,None,False,,,29,4SD2,ZAXY,4,S,0,2057,Week 3,Houston,TX,75,7 ,rain,64,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,1,38,3,1,10,CLE,HOU,CLE07,pass,3,3,113 Strong Pass XRYZA S399S Normal,113,Strong,Normal,1-10poss,True 34,Nickel Personnel,Cover-3 Sky,Blitz 1,None,None,Normal,OLB Geoff Monroe,ILB Blaine Stone,WLB S.George,None,None,False,,,31,S399S,XRYZA,S,3,0,2057,Week 3,Houston,TX,75,7 ,rain,93,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,0,58,3,2,7,CLE,HOU,CLE10,pass,9,7,131 Strong Pass ZATYU DS4SF Pistol,131,Strong,Pistol,1or2-6-9,True 34,Regular Personnel,"Press-1, Buzz",Blitz 1,None,None,Normal,CB Jeremy Gameau,S Junior Jarzyna,WLB E.Barton,None,None,False,,,32,DS4SF,ZATYU,D,S,0,2057,Week 3,Houston,TX,75,7 ,rain,90,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1Q,0,12,3,1,10,CLE,HOU,CLE19,pass,57,42,212 Pro Pass ZAXY 52S4 Shotgun,212,Pro,Shotgun,1-10earn,True 34,Regular Personnel,Press-1,Blitz 1,Double,None,Normal,OLB Geoff Monroe,,WLB E.Barton,None,None,False,,,33,52S4,ZAXY,5,2,0,2057,Week 3,Houston,TX,75,7 ,rain,81,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2Q,15,0,3,1,10,CLE,HOU,HOU24,scramble,2,0,113t Pro Pass RXZA 42S4 Normal,113t,Pro,Normal,1-10earn,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,ILB Blaine Stone,OLB Geoff Monroe,LCB E.Cyr,None,None,False,,,35,42S4,RXZA,4,2,0,2057,Week 3,Houston,TX,75,7 ,rain,24,NORMAL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2Q,14,27,3,2,8,CLE,HOU,HOU22,pass,-3,0,113 Strong Pass XZYAR S1F39 Normal,113,Strong,Normal,1or2-6-9,True 34,Nickel Personnel,Cover-2,Blitz 1,None,None,Normal,ILB Blaine Stone,,WLB S.George,None,None,False,,,36,S1F39,XZYAR,S,1,0,2057,Week 3,Houston,TX,75,7 ,rain,22,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2Q,14,3,3,3,11,CLE,HOU,HOU25,pass,25,0,113t Strong Pass XYZAR 56FS1 Shotgun,113t,Strong,Shotgun,3or4-10-12,True 34,Nickel Personnel,Cover-2,Blitz 2,None,None,3long,,,"['WLB E.Barton', 'LCB E.Cyr']",None,None,False,,,37,56FS1,XYZAR,5,6,0,2057,Week 3,Houston,TX,75,7 ,rain,25,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2Q,13,52,4,1,10,HOU,CLE,HOU25,pass,3,0,113t Strong Pass AXYZR 1DS5S Normal,113t,Strong,Normal,1-10poss,True 34,Nickel Personnel,Press-2,Blitz 1,None,None,Normal,CB Willie Settle,,SLB T.Bullock,None,None,False,,,40,1DS5S,AXYZR,1,D,0,2057,Week 3,Houston,TX,75,7 ,rain,75,NORMAL,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2Q,13,43,4,1,10,CLE,HOU,HOU24,pass,-35,0,113 I Pass YRXZ 69D3 Normal,113,I,Normal,1-10poss,True 34,Nickel Personnel,Cover-2,Blitz 1,Double,None,Normal,J,,WLB S.George,None,None,False,,,41,69D3,YRXZ,6,9,0,2057,Week 3,Houston,TX,75,7 ,rain,24,NORMAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
